 % Simple dark flight model for the fireball: IT20000000
 % Hypothesis: no Earth rotation; no winds; exponential atmosphere COESA 1976 model. 
 % Input data from atmospheric dynamical model. 
    
 INPUT DATA 
    
 % Drag coefficient (adimensional):                          0.58 
 % M/S for dark flight (kg/m^2):                           224.99 
 % Drag*S/M for dark flight (m^2/kg):                    0.002578 
 % Start height dark flight (km):                           23.25 
 % Start velocity dark flight (km/s):                        3.04 
 % Start acceleration dark flight (km/s^2):                 -1.24 
    
 RESULTS 
    
 % Horizontal length dark flight (km):                      10.16 
 % Flight time (s):                                        213.00 
 % Geographical Latitude strewn field (degree):           45.3293  
 % Geographical Longitude strewn field (degree):          12.0667 
    
% quota (km)     Vx (km/s)       Vy (km/s)      V (km/s)        Lx (km)     tempo di caduta (s)
    
    13.991 	      0.018 	     -0.129 	      0.131 		       9.96 	      42.50 
    13.927 	      0.017 	     -0.129 	      0.130 		       9.97 	      43.00 
    13.862 	      0.017 	     -0.129 	      0.130 		       9.98 	      43.50 
    13.798 	      0.016 	     -0.128 	      0.129 		       9.99 	      44.00 
    13.734 	      0.015 	     -0.128 	      0.129 		       9.99 	      44.50 
    13.670 	      0.015 	     -0.127 	      0.128 		      10.00 	      45.00 
    13.607 	      0.014 	     -0.127 	      0.128 		      10.01 	      45.50 
    13.543 	      0.013 	     -0.127 	      0.127 		      10.01 	      46.00 
    13.480 	      0.013 	     -0.126 	      0.127 		      10.02 	      46.50 
    13.417 	      0.012 	     -0.126 	      0.126 		      10.03 	      47.00 
    13.354 	      0.012 	     -0.125 	      0.126 		      10.03 	      47.50 
    13.292 	      0.011 	     -0.125 	      0.125 		      10.04 	      48.00 
    13.229 	      0.011 	     -0.124 	      0.125 		      10.04 	      48.50 
    13.167 	      0.010 	     -0.124 	      0.124 		      10.05 	      49.00 
    13.106 	      0.010 	     -0.124 	      0.124 		      10.06 	      49.50 
    13.044 	      0.010 	     -0.123 	      0.123 		      10.06 	      50.00 
    12.982 	      0.009 	     -0.123 	      0.123 		      10.06 	      50.50 
    12.921 	      0.009 	     -0.122 	      0.123 		      10.07 	      51.00 
    12.860 	      0.008 	     -0.122 	      0.122 		      10.07 	      51.50 
    12.799 	      0.008 	     -0.121 	      0.122 		      10.08 	      52.00 
    12.739 	      0.008 	     -0.121 	      0.121 		      10.08 	      52.50 
    12.678 	      0.007 	     -0.121 	      0.121 		      10.09 	      53.00 
    12.618 	      0.007 	     -0.120 	      0.120 		      10.09 	      53.50 
    12.558 	      0.007 	     -0.120 	      0.120 		      10.09 	      54.00 
    12.499 	      0.006 	     -0.119 	      0.119 		      10.10 	      54.50 
    12.439 	      0.006 	     -0.119 	      0.119 		      10.10 	      55.00 
    12.380 	      0.006 	     -0.118 	      0.118 		      10.10 	      55.50 
    12.321 	      0.006 	     -0.118 	      0.118 		      10.10 	      56.00 
    12.262 	      0.005 	     -0.118 	      0.118 		      10.11 	      56.50 
    12.203 	      0.005 	     -0.117 	      0.117 		      10.11 	      57.00 
    12.145 	      0.005 	     -0.117 	      0.117 		      10.11 	      57.50 
    12.087 	      0.005 	     -0.116 	      0.116 		      10.11 	      58.00 
    12.029 	      0.004 	     -0.116 	      0.116 		      10.12 	      58.50 
